Average Information Coefficient Timeseries
Universe Name: Russell 2000
Factor Code: EstDiffC
Factor Name: Analyst Earnings Estimate Diffusion
Sector Name: Cross Sectional
Holding Period: 12 Month
Created Date: 2024-07-26

Date,IC
9/30/2013,0.0211155969754044
10/31/2013,0.00655685824978597
11/30/2013,0.0185673719611404
12/31/2013,0.00305765261989361
1/31/2014,0.0135824001060922
2/28/2014,0.0227764905559721
3/31/2014,0.0458222304553432
4/30/2014,0.0517384146175299
5/31/2014,0.0579198376699214
6/30/2014,0.0107647732480967
7/31/2014,0.028530078791052
8/31/2014,0.0537591060974971
9/30/2014,0.00187858559551405
10/31/2014,0.0207558819286943
11/30/2014,0.0262535575872144
12/31/2014,0.0881293200875373
1/31/2015,0.0759906524898145
2/28/2015,0.0501570942668359
3/31/2015,0.0757285412624124
4/30/2015,0.0951547826812425
5/31/2015,0.100442426432088
6/30/2015,0.0335943259191052
7/31/2015,0.00246788319697377
8/31/2015,0.079171246981478
9/30/2015,0.0934019813224614
10/31/2015,0.105742031812705
