AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Zero
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Analyst Expectations,Expected LTG,-0.0276995850300044,-3.90493727812348
Price Momentum,5 Day Price Reversal,-0.0307766737272188,-1.83313804645533
Analyst Expectations,Analyst Earnings Estimate Diffusion,0.0449642507115188,3.30787200574379
Earnings Quality,Cash Conversion Cycle,-0.0504078929988603,-9.17622716021849
Price Momentum,Price Momentum,0.0544806651698558,3.40219214593815
Price Momentum,1M Price Reversal,-0.0574713717153096,-3.56653600525837
Price Momentum,1M Price High - 1M Price Low,-0.0611730869785196,-4.14789232795524
Historical Growth,1Y Chg in Sales Turnover,-0.0661013199147486,-7.02604585024534
Capital Efficiency,Long Term Debt to Equity Ratio,0.0872557977958935,26.0740091710382
Analyst Expectations,Number of EPS FY1 Revisions,0.107212234645934,6.37684149815971

Correlation (Factors)
,Analyst Expectations,Price Momentum,Analyst Expectations,Earnings Quality,Price Momentum,Price Momentum,Price Momentum,Historical Growth,Capital Efficiency,Analyst Expectations
Date,Expected LTG,5 Day Price Reversal,Analyst Earnings Estimate Diffusion,Cash Conversion Cycle,Price Momentum,1M Price Reversal,1M Price High - 1M Price Low,1Y Chg in Sales Turnover,Long Term Debt to Equity Ratio,Number of EPS FY1 Revisions
2010-05-31,0.0575101813129348,0.00879802418757026,0.0459455739112289,-0.0377561004290205,-0.085848979966456,-0.189054834229306,-0.0964251562116455,-0.164364376926968,0.0874278686815786,0.0748433358711987
2010-06-30,0.0577995676454283,-0.159504927143658,0.0548785577655367,-0.015978372397168,-0.121448559636536,-0.186811214123342,-0.123423197861153,-0.16634971328023,0.0775568598892369,0.0797478359312348
2010-07-31,0.0354660234686351,0.0213789022593878,0.0357093641871032,-0.0369483284573176,-0.0141400976527059,-0.0251721841724398,-0.0480587098482908,-0.208157232015207,0.0651191281947506,0.0801766199048072
2010-08-31,0.0152136110360663,-0.0767100360232094,0.102352014696504,-0.0406950468361506,-0.110195224362626,-0.219438453473128,-0.133202126919947,-0.183733188088931,0.096133544288388,0.12002748175778
2010-09-30,0.0180665948608237,0.058098601761089,0.06729154102928,-0.0387926724314331,0.0715255939402608,0.10700965491838,-0.0942596787899265,-0.182760913896045,0.0975901285524397,0.129066843795549
2010-10-31,0.0250649919926815,-0.0955036973130741,0.0796964437341875,-0.0502487170205017,-0.0503342231450479,-0.0601929513601813,-0.146953625726326,-0.17856153398807,0.0976666068899384,0.107199555608534
2010-11-30,0.0415545657214286,-0.0729640925850892,0.136387463546881,-0.0580202396135281,-0.0129250790231927,-0.0796347993148352,-0.0945967510060513,-0.146837552920043,0.104663538699742,0.145100021416486
2010-12-31,0.0434620401564646,0.0293670246720756,0.0257951171765948,-0.06895553928821,0.162944489423457,0.170945588133095,0.0661305653663354,-0.124896709607555,0.10878658021035,0.119207634405458
2011-01-31,0.0476506968140142,-0.122799872491111,0.0289593225694552,-0.0652118847818346,-0.0102420324909543,-0.082862366697905,-0.0843891651885263,-0.124037513198347,0.102699077801421,0.0417243824279937
2011-02-28,0.0495002000768356,-0.0543741640645832,0.0793018737703784,-0.0803570880145377,0.000585730528894101,-0.0833708230260166,-0.116796976329538,-0.12300020510231,0.107322197772598,0.0867443012273725
2011-03-31,0.0523097581983023,-0.0213150612837227,0.0559034767401715,-0.0828245712560326,0.0148821674943678,-0.094274642565249,-0.135966086882723,-0.0829123834565621,0.111019203182003,0.106443423272095
2011-04-30,0.0545082936242787,-0.00988238104229935,0.0242721088275031,-0.0891602784944359,0.0622890290271554,-0.0592818055659977,-0.0928798852828996,-0.084129310354486,0.110728790879825,0.0878903819306219
2011-05-31,0.0700314058744131,0.0482578663731367,0.110953594598098,-0.0610637557618749,0.0445082714464981,-0.138215472437139,-0.119638424883748,-0.0764793322125961,0.110298072752819,0.116018467031322
