AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Positive
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Earnings Quality,Net Profit Margin,0.637114035675182,179.787507762641
Valuation,Earnings to Price,0.630292251859859,186.523198223206
Capital Efficiency,Return on Equity,0.556533112972559,179.548054371276
Earnings Quality,Earnings Quality,0.520814814456924,118.718202368537
Capital Efficiency,Cash Flow Return on Invested Capital,0.45820099154913,127.697749677048
Historical Growth,1Y Chg in Earnings per Share,0.45142371965965,43.5082309153834
Valuation,EBITDA to Enterprise Value,0.423937465235137,63.2173515063858
Capital Efficiency,Capital Acquisition Ratio,0.404803058092944,133.426195019772
Capital Efficiency,Capital Efficiency,0.398556789841025,106.6778004002
Valuation,Valuation,0.315470227186736,62.2184761851582

Correlation (Factors)
,Earnings Quality,Valuation,Capital Efficiency,Earnings Quality,Capital Efficiency,Historical Growth,Valuation,Capital Efficiency,Capital Efficiency,Valuation
Date,Net Profit Margin,Earnings to Price,Return on Equity,Earnings Quality,Cash Flow Return on Invested Capital,1Y Chg in Earnings per Share,EBITDA to Enterprise Value,Capital Acquisition Ratio,Capital Efficiency,Valuation
2002-03-31,0.699139141876943,0.651094106712185,0.648365265026066,0.444079678370009,0.440861564010447,0.499229865505519,0.369715772552066,0.42864262418621,0.366901218382574,0.268959152707471
2002-04-30,0.722063732042531,0.685391292450022,0.671441706306805,0.441940923924977,0.443909097015087,0.506197562400327,0.360617839784226,0.434560168261199,0.37888764509203,0.322589785564676
2002-05-31,0.72038247193649,0.687959571895534,0.677689067888398,0.451096438291089,0.4474398159778,0.496740381223109,0.342606257473114,0.417856596551978,0.384596425727623,0.290725274187186
2002-06-30,0.692654978873773,0.653973280834526,0.682622433785241,0.569860163135829,0.370769739047867,0.542598586694213,0.331632234315697,0.332312415643802,0.442800649098462,0.273820209862085
2002-07-31,0.703784595468827,0.662709932728096,0.65156294520816,0.450436649467245,0.38947061833313,0.483448584024632,0.322617789149842,0.345334284260398,0.37585297897246,0.301645906384969
2002-08-31,0.703288361966376,0.655916789842699,0.656144729558139,0.457779114057884,0.405060888301172,0.497419575107158,0.312381532319855,0.359641115903649,0.374510235961964,0.266071972244639
2002-09-30,0.705396009936844,0.651534485413448,0.663910039510687,0.461372141302769,0.41194943202644,0.496413547664552,0.276914527667332,0.362873147962493,0.382996110881509,0.252579991968831
2002-10-31,0.700841842223264,0.648031219491643,0.662284113588086,0.461125386149048,0.407352662937669,0.474036476662167,0.266718030727231,0.365005395705703,0.381625976136472,0.256851346299111
2002-11-30,0.692521399333397,0.644095605835663,0.662178108681366,0.453756721955645,0.404697585972261,0.449164307346507,0.325008547201469,0.358292416817432,0.37266636469626,0.294498011829738
2002-12-31,0.690364137901444,0.646175328201212,0.655811040850631,0.456241853482784,0.403660314348108,0.446953607039176,0.297045600990183,0.360362944707306,0.373235390370389,0.277982957986435
2003-01-31,0.68612335424559,0.640525198898432,0.651831090516795,0.457028391887058,0.391131401112552,0.44770410385895,0.276217115948043,0.354756800609081,0.37233404229682,0.269598960416948
2003-02-28,0.688615007461132,0.640825964193699,0.653937089563718,0.454336165396781,0.385418712133787,0.410660491317276,0.27499922785759,0.365255921931268,0.368740186853339,0.285385338387818
2003-03-31,0.686356277376294,0.623866577339098,0.65445537834673,0.473789357552962,0.415833950803681,0.40094823714852,0.24952327056939,0.381358083284526,0.399140295339259,0.281982093636869
2003-04-30,0.681306907689853,0.631117680341137,0.645862711197835,0.470401637086267,0.419219834539336,0.413690738829393,0.272120586325155,0.381402838897271,0.39714887379472,0.277127561663309
2003-05-31,0.681739064681425,0.639428104857311,0.653570536669248,0.475829299179106,0.447511834728558,0.389773172934112,0.329480837016111,0.404830354076259,0.428627216567886,0.307070831023688
2003-06-30,0.660328285315518,0.624491934629351,0.649233916102128,0.55158526621385,0.405597292404427,0.39771974999262,0.322360187615983,0.371826389802399,0.447140092020078,0.283482977238823
2003-07-31,0.655804519490432,0.623462233048933,0.618271954736636,0.46545259315266,0.405461179301438,0.334290416687761,0.342908342233581,0.358979498140938,0.397421925538328,0.300058630024037
2003-08-31,0.656795685232043,0.620597362714065,0.609605254809751,0.457542901104409,0.404384378754045,0.362237304164489,0.347459128077191,0.331645715481476,0.386249730557517,0.312772823345222
2003-09-30,0.660026416211592,0.627959967103962,0.61262295662904,0.467124511293078,0.407577826363736,0.379192566711875,0.353504181378095,0.341627514474107,0.392637701110672,0.318806426450021
2003-10-31,0.656942394802423,0.616547369818326,0.608363915253453,0.468469078930978,0.400657646450597,0.358738597898427,0.34417955002616,0.334908501009777,0.382260457374838,0.30237939579024
2003-11-30,0.646355925662589,0.611894287664566,0.579832431929321,0.466410437898852,0.394549097923371,0.320271238648702,0.338748118188469,0.331609260214493,0.372259419541866,0.291653947217902
2003-12-31,0.652883650200549,0.624614609153899,0.582583400210928,0.47115950685038,0.394650909188132,0.321972944037495,0.354546523261545,0.321523109021135,0.368829598029307,0.307361226459764
2004-01-31,0.653566137322602,0.625431486855667,0.585680715277463,0.468369992843163,0.394029370791173,0.3212837397965,0.351880268895621,0.325090454334189,0.369723610679551,0.321781822160822
2004-02-29,0.649536890282066,0.62085313362545,0.584155838440952,0.466660478752761,0.385632282406514,0.311389791062343,0.342735416127555,0.318508470829411,0.365115524871867,0.308655611562385
2004-03-31,0.645412102322929,0.634135345428207,0.597172148840932,0.473883061155867,0.402607112618959,0.33983394160465,0.346180906642836,0.29692130661659,0.380167964162575,0.303098444706138
2004-04-30,0.647596997655793,0.633094397365734,0.603498921631111,0.481923995758321,0.409600594519156,0.313163512357556,0.346010830373085,0.290724651065242,0.387553593812055,0.300725966188397
2004-05-31,0.652685129390543,0.637712728770222,0.60480272214687,0.490431448507593,0.402459873022523,0.332964893376962,0.340322730933452,0.300329419370122,0.385988314058931,0.305892425803317
