AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: Russell 2000
Factor Code: NIStab
Factor Name: Net Income Stability
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Volatility,12M Realized Price Volatility,-0.480531459090701,-72.7647070523772
Volatility,Volatility,-0.445842736745083,-62.7455286845594
Volatility,1M Realized Price Volatility,-0.381527351251647,-36.6590119889497
Volatility,90 Day Coefficient of Variation,-0.35731615747168,-33.2495283583911
Volatility,60M CAPM Beta,-0.224628022980929,-50.579837161468
Earnings Quality,Accrual Ratio - Cash Flows,-0.217076157632828,-60.6266409166685
Size,Log Market Cap,-0.180466777258457,-26.406043123395
Size,Size,-0.176347061472957,-26.882146377887
Size,Log TTM Sales,-0.119816165512465,-18.1946013359279
Earnings Quality,Working Capital Accruals,-0.108636203293095,-15.4104659063898

Correlation (Factors)
,Volatility,Volatility,Volatility,Volatility,Volatility,Earnings Quality,Size,Size,Size,Earnings Quality
Date,12M Realized Price Volatility,Volatility,1M Realized Price Volatility,90 Day Coefficient of Variation,60M CAPM Beta,Accrual Ratio - Cash Flows,Log Market Cap,Size,Log TTM Sales,Working Capital Accruals
1996-06-30,-0.13173133617742,-0.13479470437338,-0.0722550777019186,-0.11074825307953,-0.120034413692538,-0.238768168563288,-0.0924938058393579,-0.0234482878688423,0.0619938971383519,-0.136414434597006
1996-07-31,-0.129664363484731,-0.130646978655577,-0.0775229012596067,-0.110419611820272,-0.128100295348199,-0.191484709051089,-0.09342117279076,-0.0365799672794082,0.0425311743458086,-0.133279295812248
1996-08-31,-0.143605923345776,-0.148515760826189,-0.0903075417995367,-0.133003006611968,-0.137098706233506,-0.178064570825449,-0.102860538184754,-0.0360244556413739,0.0520002361974992,-0.127497165639511
1996-09-30,-0.151651891184692,-0.179843017673209,-0.136270613213221,-0.150314991208316,-0.158321424888981,-0.171380210452756,-0.084269077206625,-0.022020576413737,0.0553747480877347,-0.117240161672839
1996-10-31,-0.156068016096913,-0.198676126458222,-0.164920522089333,-0.162705551026064,-0.168746942143669,-0.180826432590683,-0.106317522560869,-0.0475964959855727,0.0296774825977248,-0.117979407213543
1996-11-30,-0.178140764741226,-0.193078195234867,-0.159901615767399,-0.152696327559791,-0.132629291896961,-0.146817277797623,-0.115512570280985,-0.0605569880944833,0.0120918885584443,-0.119845320928574
1996-12-31,-0.199183828634689,-0.214126595228254,-0.189892658040972,-0.144371832123366,-0.169348511852577,-0.172742629154503,-0.121219524604597,-0.0589043167760757,0.0195230551195992,-0.147376919405904
1997-01-31,-0.205229562167021,-0.223215393573754,-0.208516381918191,-0.154989928439646,-0.170507507990325,-0.184980340804303,-0.135022409178797,-0.0763615265873713,0.00563949752446175,-0.157181066733431
1997-02-28,-0.201868706554483,-0.206762904370744,-0.159486794223936,-0.138837851725038,-0.173885744349966,-0.173272644238894,-0.148701482468117,-0.0882388900463527,-0.00183118814818712,-0.15289981566887
1997-03-31,-0.225815444819192,-0.233151206302093,-0.207575930993419,-0.173563717150217,-0.160251102054769,-0.199383928236261,-0.186134408449262,-0.115047637684811,-0.0060031213881141,-0.156570337494164
1997-04-30,-0.235972226775663,-0.238717222951254,-0.18302574605081,-0.223112826054857,-0.156465864471434,-0.191786110410454,-0.191268759738347,-0.114398915612017,-0.00263353432013188,-0.142493153275475
1997-05-31,-0.229562556272338,-0.237333183646484,-0.206080109892425,-0.202122554147683,-0.164896604328263,-0.206158359788197,-0.208237368543934,-0.131460500634466,-0.0151672639750821,-0.148768683218946
1997-06-30,-0.168015743283051,-0.182080528604094,-0.129217244628948,-0.139434797602919,-0.158190048203873,-0.239953612886706,-0.164998715566866,-0.0866740966095768,0.0226649128081684,-0.193091581019052
1997-07-31,-0.177000428727081,-0.153839402028432,-0.115554166663625,-0.0445821108481782,-0.15381008952785,-0.21440753254776,-0.147745024351789,-0.0852471837822914,0.0104817639956996,-0.198111350402727
1997-08-31,-0.186666007678071,-0.142054684735043,-0.104603781131849,-0.039362597143864,-0.11702529560991,-0.239238444719948,-0.150943278792196,-0.0848225914828289,0.0145673333511203,-0.181910161426683
1997-09-30,-0.180299275440446,-0.143730135929399,-0.124112427220052,-0.0378591327173184,-0.109641138375034,-0.21817334319344,-0.159061579620033,-0.0870523961994138,0.0207117306361613,-0.198273599666347
1997-10-31,-0.192656448334536,-0.165281240341976,-0.183073860579015,-0.066236194477944,-0.0966360806555669,-0.221984909626621,-0.175474799430481,-0.109320286100542,-0.00284066119726394,-0.201118160900256
1997-11-30,-0.179604115817849,-0.161448021925587,-0.150185873408075,-0.1193154485302,-0.0650949696614164,-0.188551398949928,-0.17357810060191,-0.103501617773979,-0.000286206406444862,-0.154735013809498
1997-12-31,-0.177816394969763,-0.150998971635756,-0.111324971155376,-0.145194297064176,-0.0588786347304144,-0.20646356347244,-0.188128837848103,-0.115718069851199,-0.00701196422112378,-0.173601448841082
1998-01-31,-0.184036766099225,-0.16951887464418,-0.133002919127047,-0.17451599555114,-0.0525053577781138,-0.20285211710279,-0.195914559659288,-0.118759297575328,-0.00324453951188067,-0.17253517232909
1998-02-28,-0.203273920174535,-0.170667435105466,-0.154795887058113,-0.137805523712446,-0.0586778577010866,-0.186936282675347,-0.201812607355683,-0.130558349184653,-0.0158939705289619,-0.168252886437993
1998-03-31,-0.260261539907146,-0.21455123452403,-0.188693736896332,-0.155268077358313,-0.0962751423854834,-0.178260121229796,-0.181485427471737,-0.138173711201897,-0.0534055578868753,-0.130721575816345
1998-04-30,-0.273487687751791,-0.22684571249119,-0.198203726116706,-0.146593758084649,-0.114672445889948,-0.185847946924691,-0.183424360170823,-0.137993592146915,-0.05606391149121,-0.152465974327426
1998-05-31,-0.264529400535359,-0.235918508580291,-0.204436796912417,-0.181992861053072,-0.112919502561391,-0.189544015801917,-0.18382321153629,-0.137920096007417,-0.0547677741753683,-0.138789422954908
1998-06-30,-0.186134419677952,-0.156212732061179,-0.096234537692594,-0.142078832843528,-0.0751849529521454,-0.181924644098833,-0.0911846250970146,-0.0485889360342963,0.00773333852046386,-0.133035062279475
1998-07-31,-0.203770151447097,-0.166500204097752,-0.103368236592983,-0.143730384128841,-0.0896182950796598,-0.186363459058914,-0.0792699673394582,-0.0428953859561781,0.0051593293946777,-0.155124908836055
1998-08-31,-0.222273187118826,-0.21272177029011,-0.176534343492512,-0.190112252876485,-0.132147219295824,-0.179915519422945,-0.141463836353565,-0.0691495711423368,0.0290746683243522,-0.154392126962154
1998-09-30,-0.230286706723607,-0.22382722801506,-0.179764892577704,-0.198659611101742,-0.148596196490127,-0.191396196142029,-0.126779891557009,-0.0606639976750964,0.0255539882199288,-0.159300472887183
1998-10-31,-0.231219978618852,-0.225752077953417,-0.191659357415822,-0.205520301263494,-0.144738878376586,-0.180629626625424,-0.137540819847617,-0.0686253767883622,0.0242741550865683,-0.162515849906157
1998-11-30,-0.241103527797408,-0.241588301894803,-0.214893161323419,-0.228258594531538,-0.15485565272899,-0.186590510200996,-0.130661135151015,-0.0733305891608305,0.00979610259306406,-0.168545527495425
1998-12-31,-0.263238127249909,-0.255311484801949,-0.22104761540944,-0.215889839111634,-0.168914073179493,-0.180048153685764,-0.130551765677118,-0.0676136292533912,0.0183450039105443,-0.132894903834423
1999-01-31,-0.259569701208534,-0.252222419739546,-0.239880301637538,-0.203018567102791,-0.168833662136502,-0.188604791119218,-0.113812733033252,-0.0582546964684311,0.0197916947381195,-0.144021390708472
1999-02-28,-0.274815808640361,-0.269120968732761,-0.242585325687125,-0.232401156599723,-0.174176147539147,-0.189217451401604,-0.127803204114423,-0.0666376915820721,0.0187432822396396,-0.139496944414727
1999-03-31,-0.304109049703348,-0.291808780134113,-0.266958508379763,-0.263452593178077,-0.16089759740981,-0.167327402614452,-0.159096062740846,-0.105357829353327,-0.016930698817567,-0.141518053293058
1999-04-30,-0.316515665166191,-0.289117293603998,-0.231915708542416,-0.276332460742144,-0.166301922464581,-0.16975638649977,-0.157067912894924,-0.110476399195851,-0.0276031526503124,-0.148394449923895
1999-05-31,-0.306315852723632,-0.292623206437875,-0.269786035025639,-0.269090112579159,-0.144862123247891,-0.219095385969542,-0.156101581200589,-0.107017082204583,-0.0195161228896802,-0.181470562655493
1999-06-30,-0.244612256017976,-0.23566425037456,-0.18117598856719,-0.222048049501514,-0.135805720065569,-0.258643774428661,-0.101707123847835,-0.0540760399135118,0.0192085601249539,-0.214715464153889
1999-07-31,-0.30483965988286,-0.299557902282658,-0.232715078798559,-0.282099449229679,-0.181785887602423,-0.277567986831021,-0.133104231993742,-0.120511020789459,-0.0677256468358011,-0.24026534949742
1999-08-31,-0.318664659926258,-0.312120247057912,-0.264701035152677,-0.297662797360608,-0.17733845724876,-0.293892985475603,-0.129161038538249,-0.128408410546878,-0.0831248414001399,-0.236339619026874
1999-09-30,-0.330245557497183,-0.289097893542978,-0.216075590332142,-0.247582114618709,-0.179796694464948,-0.31004547785313,-0.109761687442578,-0.114999343232601,-0.0791273108337698,-0.249376899193765
1999-10-31,-0.329436859521982,-0.282899397538181,-0.224009517430527,-0.200353370371236,-0.189921527019702,-0.308994055860143,-0.10727882450424,-0.116945600204595,-0.0829694819123881,-0.246653456663516
1999-11-30,-0.34413743569631,-0.312495539827725,-0.279314513452208,-0.253257710901365,-0.178114818788439,-0.323797580456264,-0.106867925738389,-0.109214710081066,-0.0671795860902742,-0.24138581003497
1999-12-31,-0.346723291110159,-0.334908972185928,-0.292175927751783,-0.282884304291932,-0.207444848550215,-0.304753035657928,-0.0701235455405547,-0.0864674408700024,-0.0662710136965244,-0.24710713914267
2000-01-31,-0.34236844623327,-0.313551283694961,-0.270268799890293,-0.286361146410063,-0.154530136235446,-0.300299485431885,-0.0432181927508287,-0.072951334340593,-0.065897621400537,-0.232411299920118
2000-02-29,-0.345682230346104,-0.300231081890956,-0.270710041645622,-0.263204546704948,-0.102924727059043,-0.286045224071343,0.00453215018893823,-0.0546192274789554,-0.0748757828909101,-0.22354343640414
2000-03-31,-0.375188606494684,-0.310623005305928,-0.268155552972308,-0.28424263162998,-0.0758808159124799,-0.251220906511542,-0.0248230980162884,-0.0668385648824518,-0.075100408628001,-0.248671798400398
2000-04-30,-0.384461599906934,-0.341672994265325,-0.341848023814382,-0.330400474644902,-0.0910107854245462,-0.246118587750206,-0.0833245429915235,-0.11061586181066,-0.0882529040732092,-0.247863426189716
2000-05-31,-0.380349246758193,-0.350994892474607,-0.341487345227441,-0.359598132953442,-0.0975340223093809,-0.256116287665247,-0.129936578818167,-0.140581239165529,-0.0931511516192184,-0.229752763925906
2000-06-30,-0.321578997245283,-0.296785125033429,-0.229318566350949,-0.305755474845888,-0.137599282623828,-0.288974866964788,-0.0206796397405142,-0.0456672732710492,-0.0381006022810757,-0.240013206888109
2000-07-31,-0.413672615216699,-0.354508106444346,-0.269504541600309,-0.361556954681025,-0.113169912437814,-0.221475856094296,-0.128847542310371,-0.209793109828323,-0.215637811722318,-0.240648687782514
2000-08-31,-0.41125950306705,-0.36218931219565,-0.337876479790099,-0.327796792402925,-0.120684829649029,-0.173050330952394,-0.107966123743486,-0.205011151266595,-0.223417355746287,-0.227688672878256
2000-09-30,-0.413063650373805,-0.350415283952053,-0.313303413221442,-0.306231772142815,-0.125797143417625,-0.18134710251815,-0.139008371706934,-0.22852024992658,-0.223527796532038,-0.223611831849075
2000-10-31,-0.411154153318596,-0.346227522794099,-0.315019173389477,-0.311887286598663,-0.124943499415863,-0.16346499301423,-0.185495151347004,-0.252352861666246,-0.221366096463492,-0.214038635310266
2000-11-30,-0.426457282803497,-0.405926884645563,-0.404803381800917,-0.36266277869483,-0.200384908572445,-0.142868173313239,-0.278548086467915,-0.299698867207909,-0.220719472820508,-0.217338927599924
2000-12-31,-0.432799852748848,-0.415127505755047,-0.410201645446232,-0.393142069941236,-0.20802082628519,-0.139582619942044,-0.306748502474528,-0.315346242936057,-0.223013402125406,-0.207114385277985
2001-01-31,-0.430393501235576,-0.411924426761633,-0.386235863423083,-0.398581320084276,-0.219553526623387,-0.143810769795315,-0.270364165125853,-0.291174231425002,-0.222611983681637,-0.217204591404004
2001-02-28,-0.435685569660275,-0.419665636032872,-0.384225739890212,-0.394958995837844,-0.250490451688679,-0.152741611729642,-0.317604470257349,-0.318713080890523,-0.232354023463456,-0.219978581610235
2001-03-31,-0.458785796596238,-0.451060387553654,-0.414725360115112,-0.442128357171116,-0.286249680648091,-0.143083180938183,-0.37172477275403,-0.36261731969179,-0.264259128963667,-0.226640734486444
