Quintile Returns,,,,,,,,,,,,,,,
Universe Name: S&P 500,,,,,,,,,,,,,,,
Factor Code: SUEC,,,,,,,,,,,,,,,
Factor Name: Standardized Unexpected Earnings,,,,,,,,,,,,,,,
Sector Name: Cross Sectional,,,,,,,,,,,,,,,
Weight Type: Equal Weighted,,,,,,,,,,,,,,,
Created Date: 2024-07-25,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Date,Q1,Q2,Q3,Q4,Q5,Spread,,Q1,Q2,Q3,Q4,Q5,,LS,
3/31/2011,-0.001943664,0.004243926,-0.006214672,0.005057474,-0.001131274,-0.009836147,,0.946229163,1.058394462,0.926006638,0.95897956,1.078130933,,-0.000813547,1.09957258
4/30/2011,-0.000306345,-0.001920858,-0.000542957,-0.001251229,0.004137082,-0.03637449,,0.945939291,1.056361437,0.925503856,0.957779657,1.082591249,,-0.000669629,1.098836274
5/31/2011,-0.005532327,-0.00038326,0.001047092,0.008682309,-0.002609136,0.002927627,,0.940706045,1.055956576,0.926472944,0.966095396,1.079766622,,-0.009065569,1.088874698
6/30/2011,0.003910727,0.005094944,-0.010531646,8.81156E-05,-0.002002513,0.024649931,,0.94438489,1.061336615,0.91671566,0.966180524,1.077604375,,0.005006828,1.094326507
7/31/2011,-0.002692852,0.004628689,-0.006160481,-0.002220686,0.00932173,0.023363494,,0.941841801,1.066249212,0.91106825,0.964034941,1.087649512,,0.006849374,1.101821959
8/31/2011,-0.005267396,0.001628895,-0.002677838,0.008904586,-0.001538807,0.05960568,,0.936880747,1.06798602,0.908628557,0.972619273,1.08597583,,-0.007275691,1.093805442
9/30/2011,0.014374001,-0.003024637,-0.001629986,0.008959228,-0.020596885,0.125086622,,0.950347472,1.06475575,0.907147505,0.981333191,1.063608111,,-0.011983865,1.080697425
10/31/2011,0.011940671,0.008777481,-0.01763381,-0.001122944,0.003682755,-0.125856053,,0.961695258,1.074101623,0.891151039,0.980231209,1.067525119,,0.009900425,1.091396789
11/30/2011,0.001307069,0.001373874,0.005759307,0.006005083,-0.011719009,0.019165261,,0.96295226,1.075577304,0.896283451,0.986117579,1.055014782,,-0.004631209,1.086342303
12/31/2011,-0.011105048,-0.002152507,0.010541665,0.005100594,-0.004066111,-0.008274834,,0.952258629,1.073262116,0.905731771,0.991147364,1.050724975,,-0.0072531,1.078462953
1/31/2012,0.001304554,0.0203587,-0.007210691,-0.011733126,0.00066332,-0.055399241,,0.953500901,1.095112338,0.899200819,0.979518107,1.051421941,,0.032091826,1.113072798
2/29/2012,0.008098202,-0.003188991,0.003485912,-0.017407132,0.008831147,-0.042792474,,0.961222544,1.091620035,0.902335354,0.962467506,1.060707203,,0.014218141,1.128898625
3/31/2012,0.00770122,-0.001527807,0.003254021,-0.000649603,-0.007021234,-0.008423875,,0.968625131,1.08995225,0.905271572,0.961842284,1.053259729,,-0.000878204,1.127907221
4/30/2012,0.003424564,-0.00714205,0.009266316,0.002050707,-0.009138097,0.02047465,,0.97194225,1.082167756,0.913660105,0.963814741,1.04363494,,-0.009192757,1.117538644
5/31/2012,6.20209E-05,0.000929005,0.002358669,-0.009691201,0.005287089,0.064768752,,0.97200253,1.083173095,0.915815127,0.954474218,1.049152731,,0.010620206,1.129407135
6/30/2012,0.008911334,4.33614E-05,-0.012531196,0.008524071,-0.005897919,-0.023500716,,0.98066437,1.083220063,0.904338868,0.962610224,1.042964913,,-0.008480709,1.119828961
7/31/2012,-0.005023968,-0.007328905,-0.000568268,0.001955164,0.006574731,-0.013817864,,0.975737544,1.075281246,0.903824961,0.964492285,1.049822127,,-0.009284069,1.109432392
8/31/2012,0.001264519,-0.003903983,0.014716371,-0.011935012,-0.004139444,-0.025229982,,0.976971382,1.071083367,0.917125984,0.952981058,1.045476447,,0.008031029,1.118342276
9/30/2012,-0.007914838,-0.001174137,0.003999266,0.004621671,-0.000439255,-0.031487451,,0.969238812,1.069825768,0.920793815,0.957385422,1.045017216,,-0.005795807,1.111860579
10/31/2012,-0.012387174,0.010145532,0.006463279,-0.003852039,-0.002406204,-0.003363229,,0.957232683,1.08067972,0.926745162,0.953697537,1.042502692,,0.013997571,1.127423926
11/30/2012,0.009320509,-0.006186995,0.011115227,-0.005273896,-0.010371171,0.006360001,,0.966154579,1.07399356,0.937046145,0.948667835,1.031690718,,-0.000913099,1.126394477
12/31/2012,-0.000115742,-0.004035504,-0.000328654,-0.003322273,0.007426525,-0.031870173,,0.966042754,1.069659454,0.936738181,0.945516101,1.039352595,,-0.000713231,1.125591097
1/31/2013,-0.011989385,0.012445078,-0.007417041,0.004031808,0.006763065,-0.084747042,,0.954460495,1.08297145,0.929790355,0.949328241,1.046381804,,0.008413271,1.135061
2/28/2013,-0.001667525,-0.000351911,0.008496255,-0.003992506,-0.008368097,-0.005272072,,0.952868909,1.08259034,0.937690091,0.945538041,1.03762558,,0.003640595,1.139193297
3/31/2013,-0.005187034,0.006766568,0.003695669,-0.003773437,-0.003926443,-0.04458963,,0.947926346,1.089915761,0.941155484,0.941970113,1.033551403,,0.010540005,1.1512004
4/30/2013,-0.013111499,0.009641644,-0.000244158,0.003384161,-0.001289547,-0.027571809,,0.935497611,1.100424341,0.940925693,0.945157891,1.032218589,,0.006257484,1.158404018
5/31/2013,0.002962095,-0.001364051,0.002096195,0.0005568,-0.005121208,-0.020525285,,0.938268644,1.098923307,0.942898056,0.945684155,1.026932384,,-0.001920851,1.156178897
6/30/2013,0.008098599,-0.004853855,-0.000253689,-0.001408762,0.000765294,0.017689561,,0.945867305,1.093589293,0.942658853,0.944351912,1.027718288,,-0.003445093,1.152195753
7/31/2013,-0.000796621,-0.003866771,-0.002627049,0.011081719,-0.006729719,-0.049559102,,0.945113808,1.089360633,0.940182442,0.954816954,1.020802033,,-0.014948491,1.134972166
8/31/2013,0.001021495,-0.003639451,0.004979336,-0.000356636,-0.005407724,0.034444173,,0.946079237,1.085395958,0.944863926,0.954476432,1.015281817,,-0.003282815,1.131246262
9/30/2013,-0.002183758,0.00042937,-0.004403737,0.005087577,-0.000318774,-0.043501623,,0.944013228,1.085861995,0.940702994,0.959332405,1.014958172,,-0.004658207,1.125976683
10/31/2013,-0.00502337,-0.004756731,0.0018941,-0.001937701,0.008241159,-0.055747027,,0.939271101,1.080696842,0.942484779,0.957473505,1.023322603,,-0.002819029,1.122802522
11/30/2013,-0.00216019,0.005246225,-0.00342297,-7.68482E-05,-0.00514505,-0.020552694,,0.937242096,1.08636642,0.939258682,0.957399925,1.018057558,,0.005323073,1.128779281
12/31/2013,0.005002352,0.002859324,-0.000421699,-0.005620974,-0.002151352,-0.022071448,,0.941930511,1.089472694,0.938862598,0.952018405,1.015867358,,0.008480298,1.138351666
1/31/2014,0.012533468,0.002744747,-0.00586157,-0.00567051,-0.005423357,0.048110036,,0.953736167,1.092463021,0.933359389,0.946619975,1.010357947,,0.008415257,1.147931187
2/28/2014,-0.001451318,0.004403351,-0.003939965,0.008461165,-0.011480975,-0.043928367,,0.952351993,1.097273519,0.929681985,0.954629483,0.998758053,,-0.004057815,1.143273096
3/31/2014,-0.00309358,0.002716902,0.002709264,-0.004943232,0.006207267,-0.016714839,,0.949405816,1.100254703,0.932200739,0.949910529,1.00495761,,0.007660133,1.15203072
4/30/2014,-0.007238953,-0.00319873,0.00180308,0.001515524,0.009545497,-0.020532478,,0.942533112,1.096735285,0.933881572,0.951350141,1.01455043,,-0.004714254,1.146599754
5/31/2014,5.38546E-05,-0.00875089,0.009388789,-0.000783789,-0.002397995,-0.02005434,,0.942583872,1.087137875,0.942649589,0.950604484,1.012117543,,-0.007967101,1.137464678
6/30/2014,0.001296495,0.001901619,-0.001077064,0.002818991,-0.004845843,-0.022506851,,0.943805927,1.089205197,0.941634295,0.953284229,1.00721298,,-0.000917372,1.136421199
7/31/2014,-0.001953993,-0.007948421,0.004757568,-0.001492781,0.009329785,0.010369839,,0.941961737,1.080547736,0.946114184,0.951861185,1.016610061,,-0.00645564,1.129084872
8/31/2014,0.006059249,0.000369402,-0.006786054,-0.002600958,0.004813604,-0.041510985,,0.947669317,1.080946892,0.939693802,0.949385434,1.021503619,,0.002970359,1.13243866
