AVERAGE MONTHLY RANK CORRELATIONS OVER 60 MONTHS
Universe Name: S&P 500
Factor Code: SUEC
Factor Name: Standardized Unexpected Earnings
Tab Name: Negative
Created Date: 2024-07-25

Category,Factor Name,Correlation,T-Stat
Valuation,Dividends to Price Ratio,-0.136491287533134,-18.7242561836229
Valuation,Book to Price,-0.121723159857622,-17.7381648382113
Valuation,EBITDA to Enterprise Value,-0.0887041115687793,-10.3005330960502
Price Momentum,1M Price Reversal,-0.0809399808307729,-6.78297574432155
Earnings Quality,Cash Conversion Cycle,-0.0781489572932234,-11.7336267555116
Price Momentum,1M Price High - 1M Price Low,-0.0705695701166258,-5.96717165332653
Size,Log Market Cap,-0.068799630047221,-10.8596474051647
Volatility,1M Realized Price Volatility,-0.0598583199153308,-5.87469135121019
Volatility,12M Realized Price Volatility,-0.0425974888638898,-4.26600843606396
Price Momentum,5 Day Price Reversal,-0.0383585590620607,-3.09976087722191

Correlation (Factors)
,Valuation,Valuation,Valuation,Price Momentum,Earnings Quality,Price Momentum,Size,Volatility,Volatility,Price Momentum
Date,Dividends to Price Ratio,Book to Price,EBITDA to Enterprise Value,1M Price Reversal,Cash Conversion Cycle,1M Price High - 1M Price Low,Log Market Cap,1M Realized Price Volatility,12M Realized Price Volatility,5 Day Price Reversal
2002-12-31,-0.237263004536586,-0.0992124217265231,-0.110410724115098,-0.0184665386103631,-0.0496485040931913,-0.0214459608181781,-0.0608696387567882,0.0437369589350571,0.0208359909462315,0.0889276051485431
2003-01-31,-0.252317568265631,-0.136314196618542,-0.137588604294811,-0.145069509969662,-0.0485362839590175,-0.111990884923044,-0.0409301419323387,-0.00875418238834972,0.0122270800250581,-0.10985972837897
2003-02-28,-0.202268974415525,-0.110266885575618,-0.136732517233194,-0.19967683713845,-0.0622812426603601,-0.196052584134711,-0.0364054607679265,-0.0140521996069122,0.00570483073601039,-0.0876280236204487
2003-03-31,-0.197474722672652,-0.0916388079273949,-0.13313892199798,-0.0863773715883842,-0.078013976607413,-0.0340354109023865,-0.0330374549342661,-0.0423818444138465,-0.0100288580839585,0.00163253442517351
2003-04-30,-0.0966208623038283,-0.0246021959243534,-0.105053876460315,-0.0528251924561543,-0.0520694160859502,-0.0589849204585112,-0.120226250991355,-0.0393825469814708,-0.0301299268265556,-0.069301266557062
2003-05-31,-0.0766981468593785,-0.0612132165804691,-0.147698797683249,0.00488478878086135,-0.0748381713022849,0.0408044879795618,-0.119204840355006,-0.0471988405225233,-0.0403266887424921,0.0552917612145565
2003-06-30,-0.111008571309071,-0.0568660366717501,-0.146359663254241,-0.00146110635098017,-0.0614989829948094,-0.0225666645360395,-0.0923925305761587,-0.000384177136330842,-0.0229842363511942,0.0104446557142969
2003-07-31,-0.0827157458621882,-0.0239238990978816,-0.159066594625988,-0.164482386205168,-0.0111902758427287,-0.147691557573253,-0.093494071282376,0.0230302549102588,-0.0170076660243974,-0.11500956983094
2003-08-31,-0.0656746516677124,-0.0320254881851789,-0.0940441708555465,-0.0798904626992563,-0.0313778476004074,-0.0782335250869568,-0.13216035544829,0.020394487232879,-0.0372083207919231,-0.0603470522292917
2003-09-30,-0.0480531588451346,-0.0379500863115818,-0.100883634196099,0.000559560565901547,-0.0505731410915361,-0.0389811550781781,-0.139723824077544,-0.0010439773954482,-0.04108470309292,0.000629566218332838
2003-10-31,-0.126374202852102,-0.0633765729813014,-0.0911323897461707,-0.325035649142112,-0.106154486886474,-0.273972344126286,-0.121204978506862,0.0112211602517534,0.0307567209908706,-0.0846074955764652
2003-11-30,-0.0958843460865771,-0.0374729200026922,-0.053020298244991,-0.0652116800345564,-0.0944431014552174,-0.0616657136726335,-0.108522730888282,-0.000779819432309076,0.02174559700753,-0.0676621336238435
2003-12-31,-0.0930972065678937,-0.0312482914082344,-0.0567907766774173,0.0693906511194472,-0.0852605744103719,-0.028775875281781,-0.0837270695524962,-5.50401146223726E-05,0.0272980459674588,0.000416615081544272
2004-01-31,-0.112348978269664,-0.0761855448381682,-0.147534962874757,-0.182876996274764,-0.0908364265416992,-0.170993896078391,0.000735396517916043,0.0334271584766609,0.0223261758140447,-0.148697345091067
2004-02-29,-0.124756004556519,-0.0825505041927947,-0.143588916544302,-0.046097569154628,-0.102479022677789,-0.016751273903229,0.0234825683335301,0.0550106663912862,0.0184930536278963,-0.0133001321510178
2004-03-31,-0.129502338283597,-0.059535642196952,-0.134861219809942,-0.138285361715143,-0.0900547953946128,-0.138084541226667,0.0194922851828222,0.0438290269384773,0.0305889655881781,-0.101016931396635
2004-04-30,-0.0676912010881929,-0.063410914405356,-0.132724005365919,-0.205528328998404,-0.123409975977114,-0.14485120452341,-0.0657673160971709,0.0579366139976418,0.026265397114425,-0.00718941049656303
2004-05-31,-0.014578455656863,-0.0261354342768164,-0.0876018302560109,-0.20141867195626,-0.0896970545451551,-0.136032058680152,-0.0951872828308384,-0.0156573860116941,-0.0151508629211694,-0.0106466654148719
2004-06-30,0.00448257342854917,-0.0521328660010915,-0.0865387123212081,-0.0679866486481829,-0.0927019747418803,-0.0861682962732132,-0.0990870766265866,-0.0214073227856896,-0.031557238279898,-0.0845904559025678
2004-07-31,-0.0323730790444842,-0.100576562943658,-0.0892834354351691,-0.168078190437124,-0.00912265633837804,-0.204069173180797,-0.0784363343219227,0.0257704480617523,0.00218825088513137,-0.159180225348328
2004-08-31,-0.0467960325890309,-0.0738363004543612,-0.0825542858325656,-0.0712374827044998,-0.0354581048369795,-0.0241481814664057,-0.0505150822485784,-0.00653634227444892,-9.63501024067844E-05,0.00619284753085616
2004-09-30,-0.0543325969207738,-0.105382387335594,-0.090199429726716,-0.0954246450402898,-0.0229323443710854,-0.0710520360267604,-0.0648351144245866,-0.0470724370872159,-0.0155151868259931,-0.0561943888968206
2004-10-31,-0.0817571461485863,-0.0964736149129044,-0.119761332310893,-0.167556903373208,-0.0507093163156259,-0.201677736130745,-0.0790495152007839,0.079894817903621,0.0336540305683921,-0.167390867848318
2004-11-30,-0.0963785980962571,-0.111154888878455,-0.0856369473233494,-0.0829343407609379,-0.0479964903990041,-0.0925882178925642,-0.0819250432268043,0.0232892670595437,0.0533182014707129,-0.0946213793001155
2004-12-31,-0.0937116433442288,-0.0929993796480289,-0.10595880879954,-0.0223657785394452,-0.0600101092934892,-0.0149967626525131,-0.0761461424401399,0.0408731426682248,0.059889914543506,-0.0101965692162322
2005-01-31,-0.0869648540544401,-0.0973910873172671,-0.0686008237089655,-0.154123404330057,-0.00741540877254571,-0.193159887035196,-0.0759719879121288,0.0529684242743857,0.0666696357936112,-0.262154101385209
2005-02-28,-0.0796425903527417,-0.0712189153679636,-0.0393856434824476,-0.154025723587107,0.0118040899040916,-0.127376688838456,-0.0475753807758436,-0.0260194792616365,-0.00317086720087154,-0.0756913097480779
2005-03-31,-0.0784857321859314,-0.0782436262872825,0.00332754498166081,-0.0504397056055623,0.0120667898469333,-0.0498207063421524,-0.06063917056638,-0.106588266701464,-0.0237220752717798,0.0370775911399558
2005-04-30,-0.0784306081366642,-0.0971324400443766,-0.0943635130694427,-0.209456745211458,-0.0396977683607303,-0.16459828179553,-0.0850601549126539,0.00711967081943603,0.012664543660373,-0.0871878673230414
